row_id,app_id,reg_num,released,vehicle_type,model_name,recording_date,fuel_type
3163,241146,912980142,1996,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,9/26/2017 0:00,petrol
3164,316361,912980142,1996,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,9/26/2017 0:00,petrol
3165,440058,26410874471,1997,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,4/12/2016 0:00,petrol
3166,877530,411060090,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,2/16/2021 0:00,petrol
3167,787430,509090107,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,12/17/2018 0:00,petrol
3168,325725,1202110098,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,2/17/2011 0:00,petrol
3169,338544,1010904678,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,3/4/2017 0:00,petrol
3170,602928,211080321,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,9/2/2020 0:00,petrol
3171,222644,110010101,2001,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,3/30/2018 0:00,petrol
3172,755010,410884944,2002,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,4/25/2016 0:00,petrol
3173,382867,105030082,2003,ՄԻԿՐՈԱՎՏՈԲՈՒՍ,VAZ,5/13/2003 0:00,petrol
3174,420114,105030082,2003,ՄԻԿՐՈԱՎՏՈԲՈՒՍ,VAZ,5/13/2003 0:00,petrol
3175,375135,611994513,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,7/12/2019 0:00,petrol
3176,449165,611994513,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,7/12/2019 0:00,petrol
3177,827711,611994513,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,8/28/2021 0:00,petrol
